序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分(類別),車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
3188,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,20,39,臺中市,北區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,2,1,5,4,4,2,16,8,3,10,1,1,B03,7,5,1,8,2,8,,8,8,1,22,8,B03,120.673638,24.15573,2
3189,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,20,40,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,44,,,,,B03,,,8,,10,,,44,,1,5,,B03,120.694733,24.099114,3
3190,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,20,43,臺中市,大里區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.682778,24.080383,3
3191,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,20,48,臺中市,太平區,0,1,0,8,3,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,10,3,10,1,1,B03,7,11,1,8,2,8,,10,10,1,22,8,B03,120.717194,24.148741,2
3192,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,20,50,臺中市,大雅區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,C03,,,1,,2,,,23,,1,21,,C03,120.648827,24.2243,3
3193,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,20,53,臺中市,南區,0,1,0,8,3,5,40,3,1,1,5,4,5,7,4,4,1,4,4,2,16,6,3,10,1,1,B03,7,6,1,5,2,6,,6,6,1,5,8,B03,120.661476,24.121735,2
3194,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,20,53,臺中市,龍井區,0,0,0,,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,21,,B03,120.545799,24.192448,3
3195,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,0,臺中市,南區,0,0,0,8,3,5,50,14,7,1,5,4,5,7,4,4,1,4,5,2,12,23,3,10,1,1,B12,7,9,,8,2,2,,23,23,1,22,8,B12,120.650051,24.11539,3
3196,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,0,臺中市,北屯區,0,1,0,8,3,5,30,11,9,1,5,4,5,7,4,4,10,5,5,2,17,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,21,8,C03,120.737115,24.176095,2
3197,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,6,臺中市,龍井區,0,0,0,,,,60,,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,17,17,1,22,,B03,120.586389,24.185899,3
3198,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,7,臺中市,龍井區,0,1,0,8,3,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,18,8,C03,120.526556,24.202387,2
3199,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,21,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,3,,2,,,23,,1,22,,B03,120.670502,24.161617,3
3200,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,26,臺中市,南區,0,1,0,7,3,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,5,,6,6,1,21,8,B03,120.684558,24.131045,2
3201,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,28,臺中市,北區,0,1,0,7,3,5,50,5,1,1,4,4,5,7,1,1,10,5,5,2,12,26,3,10,3,4,B03,7,6,1,8,2,5,,26,26,1,5,8,B03,120.686252,24.15482,2
3202,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,37,臺中市,中區,0,1,0,7,3,5,50,14,9,1,4,4,5,7,4,4,5,4,5,2,17,19,3,10,1,1,B03,7,1,1,8,2,8,,19,19,1,5,8,B03,120.678875,24.139114,2
3203,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,42,臺中市,西屯區,0,2,0,8,3,5,50,4,2,1,5,4,5,7,4,4,9,4,5,2,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,22,8,C03,120.645004,24.177628,2
3204,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,43,臺中市,大甲區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,21,,B03,120.627333,24.350725,3
3205,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,45,臺中市,西區,0,2,0,7,3,5,50,14,9,1,5,4,5,7,4,4,9,4,5,2,17,23,2,9,3,4,C03,7,15,1,10,2,11,,23,23,1,21,8,C03,120.679005,24.138488,2
3206,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,21,47,臺中市,西區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,18,43,2,9,1,1,C03,7,5,1,10,2,14,,43,43,1,8,8,C03,120.664295,24.147887,2
3207,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,22,7,臺中市,大里區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,13,25,3,10,1,1,C03,7,9,1,10,8,11,,25,25,1,20,8,C03,120.685454,24.102988,2
3208,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,22,14,臺中市,東區,0,2,0,6,3,5,50,14,9,1,4,4,5,7,4,4,5,4,5,2,17,19,2,9,1,1,C03,7,1,1,10,2,11,,19,19,1,21,8,C03,120.691203,24.134727,2
3209,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,22,17,臺中市,太平區,0,0,0,6,,,50,,,,,,,,,,,,,,,42,,,,,B03,,,1,,2,1,4,42,42,1,22,,B03,120.72492,24.108232,3
3210,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,22,30,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,1,,1,,,23,,1,22,,C03,120.657753,24.163407,3
3211,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,22,37,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,,1,5,,B03,120.6901,24.109105,3
3212,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,22,43,臺中市,南區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,2,5,5,2,13,23,2,9,1,1,F03,7,9,8,20,2,16,,23,23,1,5,5,F03,120.649768,24.121192,2
3213,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,22,53,臺中市,清水區,0,1,0,8,3,5,40,3,1,1,5,4,5,7,4,4,1,5,5,2,17,4,3,10,2,1,F01,7,9,8,20,1,16,,4,4,1,14,5,F01,120.572763,24.274703,2
3214,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,23,0,臺中市,神岡區,0,2,0,8,3,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,17,42,2,9,1,1,C03,7,9,1,10,2,11,,42,42,1,12,8,C03,120.676219,24.281977,2
3215,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,23,5,臺中市,西屯區,0,1,0,8,3,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,3,4,B03,7,5,1,8,2,1,,6,6,1,22,9,B03,120.639414,24.188611,2
3216,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,23,11,臺中市,后里區,0,2,0,8,3,5,50,5,1,1,5,4,5,7,3,1,1,5,4,1,15,6,2,9,1,1,B03,7,9,1,8,2,1,,6,6,1,22,8,B03,120.709895,24.307849,2
3217,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,23,13,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,8,5,5,2,17,23,3,10,1,1,C03,7,9,1,10,2,14,,23,23,1,22,9,C03,120.646629,24.140096,2
3218,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,23,29,臺中市,南區,0,2,0,8,3,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,9,3,18,2,11,,13,6,1,22,8,C03,120.659622,24.125641,2
3219,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,23,44,臺中市,西區,0,0,0,,,,50,,,,,,,,,,,,,,,42,,,,,C03,,,1,,2,,,42,,1,5,,C03,120.678049,24.146238,3
3220,66000,387130000C,(04)23274275,(04)23288582,2023,6,8,23,51,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,26,,,,,B03,,,1,,1,,,26,,1,22,,B03,120.677303,24.151254,3
3221,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,0,2,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,,,,,C03,,,1,,2,,,6,,1,22,,C03,120.640376,24.18224,3
3222,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,0,3,臺中市,太平區,0,2,0,8,3,5,30,5,2,1,5,4,5,7,2,1,10,5,5,2,17,5,2,8,1,1,C03,7,9,1,10,2,15,,5,5,1,22,8,C03,120.706147,24.148783,2
3223,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,0,3,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,,1,2,,B03,120.581721,24.223926,3
3224,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,0,18,臺中市,西屯區,0,2,0,8,3,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,43,2,9,1,1,C03,7,9,1,10,2,11,,43,43,1,22,8,C03,120.664639,24.171023,2
3225,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,1,11,臺中市,西區,0,0,0,8,,,40,,,,,,,,,,,,,,,23,,,,,B03,,,1,,9,,,23,,1,21,,B03,120.661912,24.151904,3
3226,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,1,11,臺中市,太平區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,B02,,,1,,2,1,,23,23,1,22,,B02,120.818219,24.086035,3
3227,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,3,23,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,6,,2,,,23,,1,22,,B03,120.696626,24.111218,3
3228,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,3,23,臺中市,清水區,0,2,0,8,3,5,50,4,2,1,5,4,5,7,3,1,1,4,4,2,21,23,2,8,1,1,B03,7,9,1,8,2,5,,23,23,1,5,5,B03,120.574201,24.26626,2
3229,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,3,30,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,43,,,,,,,,,,,,,43,,1,,,,120.643478,24.16772,3
3230,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,4,46,臺中市,北區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,5,4,5,2,16,26,2,9,1,1,C03,7,5,1,10,2,14,,26,26,1,22,8,C03,120.684188,24.149941,2
3231,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,5,30,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,67,,,,,,,,,,,,,67,,1,,,,120.726683,24.167406,3
3232,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,5,35,臺中市,大甲區,0,0,0,6,,,50,,,,,,,,,,,,,,,6,,,,,B03,,,1,,2,,,6,,1,4,,B03,120.630245,24.424931,3
3233,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,5,54,臺中市,梧棲區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.548866,24.248336,4
3234,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,5,59,臺中市,西屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,29,42,2,9,1,1,C03,7,15,1,10,2,15,,42,42,1,22,8,C03,120.657995,24.164731,2
3235,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,6,50,臺中市,烏日區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,5,5,4,2,16,26,3,10,1,1,B03,7,11,1,8,2,5,,26,26,1,21,8,B03,120.646766,24.0946,2
3236,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,6,50,臺中市,石岡區,0,0,0,6,,,70,,,,,,,,,,,,,,,26,,,,,B03,,,1,,1,,,26,26,1,22,,B03,120.78344,24.27464,3
3237,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,0,臺中市,清水區,0,0,0,,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,4,,B03,120.57553,24.295196,3
3238,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,9,臺中市,龍井區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,21,,B03,,,3
3239,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,11,臺中市,沙鹿區,0,0,0,8,,,70,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.605594,24.247547,3
3240,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,13,臺中市,后里區,0,1,0,7,1,5,50,3,1,1,5,4,5,7,2,1,10,5,5,2,16,44,3,10,1,1,B03,7,5,1,8,4,5,,44,44,1,9,1,B03,120.723503,24.298126,2
3241,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,15,臺中市,豐原區,0,1,0,8,1,5,30,5,1,1,5,4,5,7,4,4,10,5,5,1,11,5,2,9,3,4,C04,7,9,1,10,2,14,,5,5,1,22,8,C04,120.802916,24.256438,2
3242,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,16,臺中市,大甲區,0,1,0,7,1,5,50,4,2,1,4,4,5,7,1,1,10,5,5,2,17,9,3,10,1,1,C03,7,6,1,10,2,15,,9,9,1,22,9,C03,120.632366,24.345728,2
3243,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,17,臺中市,沙鹿區,0,1,0,7,1,5,30,11,9,1,4,4,5,7,4,4,10,5,5,1,17,5,3,10,1,1,C03,7,15,1,10,11,15,,5,5,2,11,1,C03,120.569485,24.251062,2
3244,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,19,臺中市,豐原區,0,3,0,8,1,5,30,14,9,1,5,4,5,7,4,4,10,5,5,2,17,6,2,9,1,1,C03,7,15,1,10,2,11,,6,6,1,22,8,C03,120.721186,24.238782,2
3245,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,20,臺中市,大雅區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,22,,B03,120.650288,24.221764,3
3246,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,24,臺中市,西屯區,0,2,0,7,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,17,6,3,10,1,1,B01,7,9,1,4,2,1,,6,6,1,1,9,B01,120.64631,24.181923,2
3247,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,24,臺中市,霧峰區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,1,16,8,2,9,1,1,C03,7,5,1,10,2,13,,8,7,1,22,9,C03,120.686919,24.054057,2
3248,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,27,臺中市,北區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,4,4,5,4,4,1,17,37,3,10,3,4,C03,7,9,1,10,2,15,,37,37,1,22,9,C03,120.668676,24.15941,2
3249,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,27,臺中市,龍井區,0,2,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,3,12,,6,6,1,9,1,C03,120.517855,24.204969,2
3250,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,28,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,3,3,5,2,16,7,3,10,1,1,B03,7,8,1,8,2,2,,7,7,1,22,8,B03,120.637256,24.151618,2
3251,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,29,臺中市,南屯區,0,0,0,,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,23,1,22,,B03,120.625019,24.149033,3
3252,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,30,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,22,,B03,120.624149,24.135821,3
3253,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,30,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,43,,,,,B03,,,1,,1,,,43,,1,22,,B03,120.647646,24.134776,3
3254,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,30,臺中市,烏日區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,5,4,4,1,17,26,2,9,1,1,C03,7,1,1,10,2,11,,26,26,1,21,8,C03,120.640173,24.110026,2
3255,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,31,臺中市,沙鹿區,0,0,0,8,,,60,,,,,,,,,,,,,,,23,,,,,B12,,,3,,7,,,23,,1,4,,B12,120.58063,24.216485,3
3256,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,38,臺中市,南區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,1,3,10,1,1,C03,7,9,1,10,2,11,,1,1,1,22,8,C03,120.655143,24.131898,2
3257,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,39,臺中市,沙鹿區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,17,6,2,7,1,1,C03,7,6,1,10,2,13,,6,6,1,21,8,C03,120.572289,24.223976,2
3258,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,40,臺中市,潭子區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,1,3,4,1,17,23,2,8,1,1,C03,7,9,1,10,2,12,,23,23,1,22,8,C03,120.684792,24.216293,2
3259,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,40,臺中市,烏日區,0,1,0,7,1,5,50,14,22,1,5,4,5,7,4,4,1,4,4,2,18,43,2,9,3,4,C03,7,21,1,10,2,15,,43,43,1,21,1,C03,120.620757,24.109348,2
3260,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,42,臺中市,潭子區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,5,4,4,2,17,23,2,9,1,1,F02,7,9,8,20,2,16,,23,23,1,22,8,F02,120.691019,24.215202,2
3261,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,42,臺中市,大里區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,3,4,4,1,17,40,3,10,3,4,B03,7,15,1,8,2,4,,40,40,1,22,8,B03,120.692636,24.091231,2
3262,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,42,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,18,,,,,B03,,,1,,2,,,38,18,1,22,,B03,120.555117,24.227074,3
3263,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,44,臺中市,南區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,42,3,10,1,1,C03,7,9,1,10,2,11,,42,42,1,22,8,C03,120.660583,24.123946,2
3264,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,44,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,,,,,B03,,,1,,1,,,6,6,1,21,,B03,120.626503,24.177643,3
3265,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,44,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,16,16,1,22,,B03,120.625002,24.182084,3
3266,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,46,臺中市,太平區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,12,,6,6,1,9,8,C03,120.7212,24.157723,2
3267,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,46,臺中市,梧棲區,0,1,0,7,1,5,30,14,9,1,4,4,5,7,4,4,10,5,5,2,17,43,2,9,1,1,C03,7,9,1,10,2,15,,43,43,1,5,1,C03,120.552298,24.256025,2
3268,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,47,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,C03,,,1,,1,,,16,,1,22,,C03,120.675884,24.171452,3
3269,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,47,臺中市,南區,0,2,0,8,1,5,50,4,2,1,5,4,5,7,1,1,10,5,5,2,13,16,3,10,1,1,C03,7,9,1,10,2,11,13,16,16,1,21,8,C03,120.674285,24.130755,2
3270,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,47,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,A12,,,1,,1,,,12,,1,22,,A12,120.626116,24.142905,3
3271,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,48,臺中市,南區,0,0,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,13,23,3,10,1,1,B03,7,9,1,8,2,1,,23,23,1,22,8,B03,120.666824,24.119158,3
3272,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,49,臺中市,烏日區,0,1,0,7,1,5,30,3,2,1,5,4,5,7,4,4,10,5,5,2,11,5,3,10,1,1,C03,7,9,1,10,2,11,,5,5,1,21,1,C03,120.606476,24.119752,2
3273,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,50,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,C03,,,1,,2,,,7,,1,4,,C03,120.705063,24.16954,3
3274,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,50,臺中市,烏日區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,,,,,B02,,,1,,2,,,42,,1,22,,B02,120.634528,24.105464,3
3275,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,51,臺中市,北屯區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,5,5,5,2,16,6,2,9,1,1,F03,7,5,8,20,2,16,,6,6,1,22,8,F03,120.690932,24.181016,2
3276,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,51,臺中市,豐原區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,4,3,5,2,16,7,2,9,1,1,F01,7,7,8,20,2,16,,7,7,1,22,8,F01,120.732321,24.251713,2
3277,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,53,臺中市,沙鹿區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,8,3,10,1,1,C03,7,5,1,10,2,13,,8,8,1,18,2,C03,120.574999,24.227048,2
3278,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,54,臺中市,太平區,0,1,0,7,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,7,2,9,1,1,C03,7,8,1,10,2,12,,7,7,1,19,7,C03,120.709572,24.111095,2
3279,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,55,臺中市,清水區,0,0,0,,,,30,,,,,,,,,,,,,,,19,,,,,B03,,,1,,1,,,19,19,1,5,,B03,120.550581,24.268539,3
3280,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,57,臺中市,北區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,C03,7,15,1,10,2,11,,6,6,1,5,8,C03,120.68413,24.1525,2
3281,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,58,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,2,,6,6,1,22,8,B03,120.619845,24.184726,2
3282,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,7,59,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,43,,,,,,,,,,,,,43,,1,,,,120.710146,24.172689,3
3283,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,0,臺中市,清水區,0,3,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,13,16,2,9,1,1,C03,7,9,3,18,2,11,,16,16,1,5,5,C03,120.549791,24.285255,2
3284,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,1,臺中市,潭子區,0,2,0,8,1,5,50,3,2,1,5,4,5,7,1,1,10,5,5,2,16,23,2,9,1,1,C03,7,9,6,8,9,11,,23,23,1,22,8,C03,120.673659,24.205694,2
3285,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,2,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,,,,,C03,,,1,,2,,,19,,1,22,,C03,120.733456,24.153721,3
3286,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,3,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,A41,,,1,,1,,,23,,1,22,,A41,120.612653,24.154144,3
3287,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,4,臺中市,西屯區,0,3,0,8,1,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,16,8,2,7,3,4,C03,7,5,1,10,2,14,,8,8,1,22,8,C03,120.643436,24.165801,2
3288,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,5,臺中市,南屯區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,1,1,5,5,5,2,13,26,2,8,1,1,C03,7,5,1,10,2,11,,26,26,1,22,8,C03,120.612735,24.154131,2
3289,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,9,臺中市,東區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,4,4,5,4,5,2,12,17,3,10,1,1,B03,7,9,1,8,2,2,,17,17,1,5,8,B03,120.682914,24.134335,2
3290,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,9,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.622939,24.144531,3
3291,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,10,臺中市,南區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,1,1,C04,7,5,1,10,2,14,,6,6,1,22,8,C04,120.673623,24.129769,2
3292,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,10,臺中市,大安區,0,1,0,7,1,5,50,14,9,1,4,4,5,7,4,4,8,5,5,1,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,22,9,C03,120.612022,24.351251,2
3293,66000,387130000C,(04)23274275,(04)23288582,2023,6,9,8,11,臺中市,南屯區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,13,7,2,9,1,1,C03,7,7,1,10,2,11,,7,7,1,22,8,C03,120.615771,24.153679,2
